FIT: {'loss': [0.990607738494873], 'accuracy': [0.7195584177970886]}
EVALUATE: {'loss': [0.14684602618217468], 'accuracy': [0.9636997580528259]}
FIT: {'loss': [0.2928677797317505], 'accuracy': [0.9123369455337524]}
EVALUATE: {'loss': [0.07641766220331192], 'accuracy': [0.9808722138404846]}
FIT: {'loss': [0.25903064012527466], 'accuracy': [0.9222473502159119]}
EVALUATE: {'loss': [0.06657629460096359], 'accuracy': [0.9828274846076965]}
FIT: {'loss': [0.2282790094614029], 'accuracy': [0.9308460354804993]}
EVALUATE: {'loss': [0.04130091518163681], 'accuracy': [0.9883533120155334]}
FIT: {'loss': [0.2301575392484665], 'accuracy': [0.9295707941055298]}
EVALUATE: {'loss': [0.047616612166166306], 'accuracy': [0.9878432154655457]}
FIT: {'loss': [0.182260200381279], 'accuracy': [0.9465495944023132]}
EVALUATE: {'loss': [0.03929990157485008], 'accuracy': [0.9902235865592957]}
FIT: {'loss': [0.15086787939071655], 'accuracy': [0.9557676911354065]}
EVALUATE: {'loss': [0.030437728390097618], 'accuracy': [0.9937090873718262]}
FIT: {'loss': [0.18546220660209656], 'accuracy': [0.9449464678764343]}
EVALUATE: {'loss': [0.049036163836717606], 'accuracy': [0.9869080781936646]}
