FIT: {'loss': [0.9842490553855896], 'accuracy': [0.7224003672599792]}
EVALUATE: {'loss': [0.15984095633029938], 'accuracy': [0.9591940641403198]}
FIT: {'loss': [0.23174861073493958], 'accuracy': [0.9303723573684692]}
EVALUATE: {'loss': [0.05822666361927986], 'accuracy': [0.9844427704811096]}
FIT: {'loss': [0.17943859100341797], 'accuracy': [0.9457115530967712]}
EVALUATE: {'loss': [0.04102938622236252], 'accuracy': [0.9911587238311768]}
FIT: {'loss': [0.1489367038011551], 'accuracy': [0.9546381831169128]}
EVALUATE: {'loss': [0.03401603549718857], 'accuracy': [0.9916688203811646]}
FIT: {'loss': [0.1882556676864624], 'accuracy': [0.9430153965950012]}
EVALUATE: {'loss': [0.04580581933259964], 'accuracy': [0.9880132675170898]}
FIT: {'loss': [0.1431468427181244], 'accuracy': [0.9571886658668518]}
EVALUATE: {'loss': [0.02746468409895897], 'accuracy': [0.9922638535499573]}
