FIT: {'loss': [0.9938222169876099], 'accuracy': [0.72025066614151]}
EVALUATE: {'loss': [0.16462206840515137], 'accuracy': [0.9491626024246216]}
FIT: {'loss': [0.26018810272216797], 'accuracy': [0.922866702079773]}
EVALUATE: {'loss': [0.06662017852067947], 'accuracy': [0.9831675887107849]}
FIT: {'loss': [0.22811324894428253], 'accuracy': [0.9305909872055054]}
EVALUATE: {'loss': [0.04755755141377449], 'accuracy': [0.987503170967102]}
FIT: {'loss': [0.23903317749500275], 'accuracy': [0.9297165274620056]}
EVALUATE: {'loss': [0.06396392732858658], 'accuracy': [0.9839326739311218]}
FIT: {'loss': [0.17664718627929688], 'accuracy': [0.9466589093208313]}
EVALUATE: {'loss': [0.03949851915240288], 'accuracy': [0.9916688203811646]}
FIT: {'loss': [0.15364930033683777], 'accuracy': [0.9539459347724915]}
EVALUATE: {'loss': [0.04838809370994568], 'accuracy': [0.9902235865592957]}
FIT: {'loss': [0.1786884218454361], 'accuracy': [0.9466589093208313]}
EVALUATE: {'loss': [0.05191013962030411], 'accuracy': [0.9886083602905273]}
FIT: {'loss': [0.14723676443099976], 'accuracy': [0.9560955762863159]}
EVALUATE: {'loss': [0.02893143706023693], 'accuracy': [0.9926889538764954]}
