FIT: {'loss': [0.9643102288246155], 'accuracy': [0.7232383489608765]}
EVALUATE: {'loss': [0.1309615969657898], 'accuracy': [0.966590166091919]}
FIT: {'loss': [0.28587281703948975], 'accuracy': [0.9117540121078491]}
EVALUATE: {'loss': [0.069973886013031], 'accuracy': [0.9861429929733276]}
FIT: {'loss': [0.25654086470603943], 'accuracy': [0.9219194054603577]}
EVALUATE: {'loss': [0.08878080546855927], 'accuracy': [0.980022132396698]}
FIT: {'loss': [0.22608588635921478], 'accuracy': [0.9315382838249207]}
EVALUATE: {'loss': [0.06131000444293022], 'accuracy': [0.9842727184295654]}
FIT: {'loss': [0.2367832064628601], 'accuracy': [0.9271296262741089]}
EVALUATE: {'loss': [0.061886824667453766], 'accuracy': [0.9852078557014465]}
FIT: {'loss': [0.18023736774921417], 'accuracy': [0.9459301829338074]}
EVALUATE: {'loss': [0.04925486445426941], 'accuracy': [0.9874181747436523]}
FIT: {'loss': [0.15727049112319946], 'accuracy': [0.9544196128845215]}
EVALUATE: {'loss': [0.041102584451436996], 'accuracy': [0.9890334010124207]}
