FIT: {'loss': [0.9700931310653687], 'accuracy': [0.7258252501487732]}
EVALUATE: {'loss': [0.14968259632587433], 'accuracy': [0.9624245762825012]}
FIT: {'loss': [0.2345695048570633], 'accuracy': [0.9286234974861145]}
EVALUATE: {'loss': [0.060319069772958755], 'accuracy': [0.9846977591514587]}
FIT: {'loss': [0.1800256073474884], 'accuracy': [0.9466953277587891]}
EVALUATE: {'loss': [0.0443359836935997], 'accuracy': [0.9899685382843018]}
FIT: {'loss': [0.15284578502178192], 'accuracy': [0.9546746611595154]}
EVALUATE: {'loss': [0.041556376963853836], 'accuracy': [0.9908186793327332]}
FIT: {'loss': [0.18251627683639526], 'accuracy': [0.9449099898338318]}
EVALUATE: {'loss': [0.04494723677635193], 'accuracy': [0.987503170967102]}
FIT: {'loss': [0.14213325083255768], 'accuracy': [0.9579538106918335]}
EVALUATE: {'loss': [0.03466077521443367], 'accuracy': [0.9926889538764954]}
