FIT: {'loss': [0.9845138192176819], 'accuracy': [0.7199591994285583]}
EVALUATE: {'loss': [0.14145515859127045], 'accuracy': [0.9624245762825012]}
FIT: {'loss': [0.2346687763929367], 'accuracy': [0.9280769228935242]}
EVALUATE: {'loss': [0.0537540577352047], 'accuracy': [0.9859729409217834]}
FIT: {'loss': [0.1790795773267746], 'accuracy': [0.9462945461273193]}
EVALUATE: {'loss': [0.03910054266452789], 'accuracy': [0.9907336831092834]}
FIT: {'loss': [0.15829846262931824], 'accuracy': [0.9529986381530762]}
EVALUATE: {'loss': [0.038179438561201096], 'accuracy': [0.9915837645530701]}
FIT: {'loss': [0.1793886125087738], 'accuracy': [0.9471325278282166]}
EVALUATE: {'loss': [0.035506971180438995], 'accuracy': [0.9919238090515137]}
FIT: {'loss': [0.14073173701763153], 'accuracy': [0.9564235210418701]}
EVALUATE: {'loss': [0.02791428379714489], 'accuracy': [0.9928589463233948]}
FIT: {'loss': [0.15644431114196777], 'accuracy': [0.9535815715789795]}
EVALUATE: {'loss': [0.03471944481134415], 'accuracy': [0.9916688203811646]}
FIT: {'loss': [0.11646538227796555], 'accuracy': [0.9658238291740417]}
EVALUATE: {'loss': [0.02178218588232994], 'accuracy': [0.9944741725921631]}
FIT: {'loss': [0.11795945465564728], 'accuracy': [0.9652044177055359]}
EVALUATE: {'loss': [0.025243209674954414], 'accuracy': [0.9931139945983887]}
