FIT: {'loss': [3.00595760345459], 'accuracy': [0.26491647958755493]}
EVALUATE: {'loss': [2.7671990394592285], 'accuracy': [0.3734939694404602]}
FIT: {'loss': [2.6722757816314697], 'accuracy': [0.3245823383331299]}
EVALUATE: {'loss': [2.104085922241211], 'accuracy': [0.40963855385780334]}
FIT: {'loss': [2.625736713409424], 'accuracy': [0.33651551604270935]}
EVALUATE: {'loss': [2.470921277999878], 'accuracy': [0.3855421543121338]}
FIT: {'loss': [2.6793253421783447], 'accuracy': [0.3603818714618683]}
EVALUATE: {'loss': [2.3692550659179688], 'accuracy': [0.4939759075641632]}
FIT: {'loss': [2.6198441982269287], 'accuracy': [0.3245823383331299]}
EVALUATE: {'loss': [2.6538991928100586], 'accuracy': [0.3012048304080963]}
FIT: {'loss': [2.505394458770752], 'accuracy': [0.3579952120780945]}
EVALUATE: {'loss': [2.383671522140503], 'accuracy': [0.34939759969711304]}
FIT: {'loss': [2.3396995067596436], 'accuracy': [0.3937947452068329]}
EVALUATE: {'loss': [2.2380011081695557], 'accuracy': [0.4337349534034729]}
