FIT: {'loss': [3.0783519744873047], 'accuracy': [0.20705881714820862]}
EVALUATE: {'loss': [2.7812139987945557], 'accuracy': [0.3796791434288025]}
FIT: {'loss': [2.5254926681518555], 'accuracy': [0.30352941155433655]}
EVALUATE: {'loss': [2.388449192047119], 'accuracy': [0.4331550896167755]}
FIT: {'loss': [2.4096474647521973], 'accuracy': [0.36705881357192993]}
EVALUATE: {'loss': [2.3995211124420166], 'accuracy': [0.4385026693344116]}
FIT: {'loss': [2.5430538654327393], 'accuracy': [0.34823527932167053]}
EVALUATE: {'loss': [1.9914425611495972], 'accuracy': [0.49197861552238464]}
FIT: {'loss': [2.5336434841156006], 'accuracy': [0.3905882239341736]}
EVALUATE: {'loss': [2.1273398399353027], 'accuracy': [0.3957219123840332]}
FIT: {'loss': [2.507550001144409], 'accuracy': [0.36705881357192993]}
EVALUATE: {'loss': [2.111546277999878], 'accuracy': [0.51871657371521]}
FIT: {'loss': [2.403228759765625], 'accuracy': [0.3811764717102051]}
EVALUATE: {'loss': [1.993034839630127], 'accuracy': [0.45989304780960083]}
