FIT: {'loss': [3.1123554706573486], 'accuracy': [0.22658610343933105]}
EVALUATE: {'loss': [2.942349910736084], 'accuracy': [0.23762376606464386]}
FIT: {'loss': [2.629671335220337], 'accuracy': [0.32024168968200684]}
EVALUATE: {'loss': [2.60538387298584], 'accuracy': [0.4108910858631134]}
FIT: {'loss': [2.5910122394561768], 'accuracy': [0.29607251286506653]}
EVALUATE: {'loss': [2.3207831382751465], 'accuracy': [0.4009900987148285]}
FIT: {'loss': [2.534722328186035], 'accuracy': [0.3262839913368225]}
EVALUATE: {'loss': [2.423044443130493], 'accuracy': [0.3366336524486542]}
FIT: {'loss': [2.508888006210327], 'accuracy': [0.35951662063598633]}
EVALUATE: {'loss': [2.234154462814331], 'accuracy': [0.44059404730796814]}
FIT: {'loss': [2.422569513320923], 'accuracy': [0.3897280991077423]}
EVALUATE: {'loss': [2.502922296524048], 'accuracy': [0.4108910858631134]}
FIT: {'loss': [2.214874029159546], 'accuracy': [0.4199395775794983]}
EVALUATE: {'loss': [2.258251190185547], 'accuracy': [0.4306930601596832]}
FIT: {'loss': [2.24587345123291], 'accuracy': [0.4290030300617218]}
EVALUATE: {'loss': [2.224390983581543], 'accuracy': [0.5148515105247498]}
