FIT: {'loss': [2.9402706623077393], 'accuracy': [0.26489362120628357]}
EVALUATE: {'loss': [2.6240291595458984], 'accuracy': [0.3499999940395355]}
FIT: {'loss': [2.6115894317626953], 'accuracy': [0.3446808457374573]}
EVALUATE: {'loss': [2.321094036102295], 'accuracy': [0.44090908765792847]}
FIT: {'loss': [2.5651357173919678], 'accuracy': [0.346808522939682]}
EVALUATE: {'loss': [2.237947463989258], 'accuracy': [0.4227272868156433]}
FIT: {'loss': [2.630167007446289], 'accuracy': [0.3446808457374573]}
EVALUATE: {'loss': [2.2585396766662598], 'accuracy': [0.48636364936828613]}
FIT: {'loss': [2.540677547454834], 'accuracy': [0.3744680881500244]}
EVALUATE: {'loss': [2.0327630043029785], 'accuracy': [0.5045454502105713]}
FIT: {'loss': [2.459056854248047], 'accuracy': [0.3712765872478485]}
EVALUATE: {'loss': [2.1863043308258057], 'accuracy': [0.4227272868156433]}
