FIT: {'loss': [3.02547025680542], 'accuracy': [0.2216624617576599]}
EVALUATE: {'loss': [3.0774078369140625], 'accuracy': [0.2777777910232544]}
FIT: {'loss': [2.488772392272949], 'accuracy': [0.36523929238319397]}
EVALUATE: {'loss': [2.4953298568725586], 'accuracy': [0.3055555522441864]}
FIT: {'loss': [2.6955413818359375], 'accuracy': [0.2896725535392761]}
EVALUATE: {'loss': [2.4841737747192383], 'accuracy': [0.4166666567325592]}
FIT: {'loss': [2.458940029144287], 'accuracy': [0.39042821526527405]}
EVALUATE: {'loss': [2.304500102996826], 'accuracy': [0.3819444477558136]}
FIT: {'loss': [2.413193702697754], 'accuracy': [0.38539043068885803]}
EVALUATE: {'loss': [2.3546438217163086], 'accuracy': [0.4652777910232544]}
FIT: {'loss': [2.5669944286346436], 'accuracy': [0.3501259386539459]}
EVALUATE: {'loss': [2.3978023529052734], 'accuracy': [0.4166666567325592]}
FIT: {'loss': [2.2656545639038086], 'accuracy': [0.39798489212989807]}
EVALUATE: {'loss': [2.053492307662964], 'accuracy': [0.4930555522441864]}
FIT: {'loss': [2.3964130878448486], 'accuracy': [0.39042821526527405]}
EVALUATE: {'loss': [1.9185422658920288], 'accuracy': [0.5069444179534912]}
