FIT: {'loss': [2.9559898376464844], 'accuracy': [0.234375]}
EVALUATE: {'loss': [2.6480956077575684], 'accuracy': [0.31521740555763245]}
FIT: {'loss': [2.482672929763794], 'accuracy': [0.3723958432674408]}
EVALUATE: {'loss': [2.3895819187164307], 'accuracy': [0.39855071902275085]}
FIT: {'loss': [2.5203702449798584], 'accuracy': [0.3385416567325592]}
EVALUATE: {'loss': [2.0376405715942383], 'accuracy': [0.5253623127937317]}
FIT: {'loss': [2.3604848384857178], 'accuracy': [0.4205729067325592]}
EVALUATE: {'loss': [2.2922146320343018], 'accuracy': [0.46014493703842163]}
FIT: {'loss': [2.4134252071380615], 'accuracy': [0.3802083432674408]}
EVALUATE: {'loss': [2.164546489715576], 'accuracy': [0.4637681245803833]}
FIT: {'loss': [2.429084062576294], 'accuracy': [0.3671875]}
EVALUATE: {'loss': [2.0054662227630615], 'accuracy': [0.46014493703842163]}
FIT: {'loss': [2.4541079998016357], 'accuracy': [0.3958333432674408]}
EVALUATE: {'loss': [2.266453981399536], 'accuracy': [0.48188406229019165]}
FIT: {'loss': [2.4215850830078125], 'accuracy': [0.3450520932674408]}
EVALUATE: {'loss': [2.0888497829437256], 'accuracy': [0.49275362491607666]}
FIT: {'loss': [2.363819122314453], 'accuracy': [0.3880208432674408]}
EVALUATE: {'loss': [2.162498950958252], 'accuracy': [0.4384058117866516]}
