FIT: {'loss': [3.0674939155578613], 'accuracy': [0.21087314188480377]}
EVALUATE: {'loss': [2.8192074298858643], 'accuracy': [0.3577464818954468]}
FIT: {'loss': [2.7258353233337402], 'accuracy': [0.3196046054363251]}
EVALUATE: {'loss': [2.423461675643921], 'accuracy': [0.4563380181789398]}
FIT: {'loss': [2.7607269287109375], 'accuracy': [0.2883031368255615]}
EVALUATE: {'loss': [2.6544957160949707], 'accuracy': [0.3323943614959717]}
FIT: {'loss': [2.645827293395996], 'accuracy': [0.3228995203971863]}
EVALUATE: {'loss': [2.325075387954712], 'accuracy': [0.3830986022949219]}
FIT: {'loss': [2.6941707134246826], 'accuracy': [0.33607909083366394]}
EVALUATE: {'loss': [2.3715322017669678], 'accuracy': [0.38591548800468445]}
FIT: {'loss': [2.639284610748291], 'accuracy': [0.3311367332935333]}
EVALUATE: {'loss': [2.363356828689575], 'accuracy': [0.41971829533576965]}
FIT: {'loss': [2.398109197616577], 'accuracy': [0.3855024576187134]}
EVALUATE: {'loss': [2.057297468185425], 'accuracy': [0.5183098316192627]}
FIT: {'loss': [2.4195327758789062], 'accuracy': [0.3723228871822357]}
EVALUATE: {'loss': [2.1825623512268066], 'accuracy': [0.4732394218444824]}
