FIT: {'loss': [2.940812110900879], 'accuracy': [0.2379603385925293]}
EVALUATE: {'loss': [2.8113479614257812], 'accuracy': [0.39053255319595337]}
FIT: {'loss': [2.440087080001831], 'accuracy': [0.3739376664161682]}
EVALUATE: {'loss': [2.4323954582214355], 'accuracy': [0.45266273617744446]}
FIT: {'loss': [2.733651638031006], 'accuracy': [0.3257790505886078]}
EVALUATE: {'loss': [2.31613826751709], 'accuracy': [0.4289940893650055]}
FIT: {'loss': [2.5156195163726807], 'accuracy': [0.3484419286251068]}
EVALUATE: {'loss': [2.323470115661621], 'accuracy': [0.45266273617744446]}
FIT: {'loss': [2.5483312606811523], 'accuracy': [0.37960338592529297]}
EVALUATE: {'loss': [2.192058563232422], 'accuracy': [0.45562130212783813]}
FIT: {'loss': [2.3813695907592773], 'accuracy': [0.37960338592529297]}
EVALUATE: {'loss': [2.173386335372925], 'accuracy': [0.4467455744743347]}
