FIT: {'loss': [3.2203056812286377], 'accuracy': [0.25999999046325684]}
EVALUATE: {'loss': [2.9167211055755615], 'accuracy': [0.22857142984867096]}
FIT: {'loss': [3.396045207977295], 'accuracy': [0.25999999046325684]}
EVALUATE: {'loss': [2.7779428958892822], 'accuracy': [0.48571428656578064]}
FIT: {'loss': [2.7969717979431152], 'accuracy': [0.30000001192092896]}
EVALUATE: {'loss': [2.7138757705688477], 'accuracy': [0.3142857253551483]}
FIT: {'loss': [2.482612133026123], 'accuracy': [0.2800000011920929]}
EVALUATE: {'loss': [2.288775682449341], 'accuracy': [0.4000000059604645]}
FIT: {'loss': [2.763576030731201], 'accuracy': [0.3400000035762787]}
EVALUATE: {'loss': [2.8817968368530273], 'accuracy': [0.4000000059604645]}
FIT: {'loss': [2.7008016109466553], 'accuracy': [0.36000001430511475]}
EVALUATE: {'loss': [2.689342975616455], 'accuracy': [0.34285715222358704]}
FIT: {'loss': [2.8181166648864746], 'accuracy': [0.3199999928474426]}
EVALUATE: {'loss': [2.3382983207702637], 'accuracy': [0.37142857909202576]}
