FIT: {'loss': [2.858976364135742], 'accuracy': [0.2770853340625763]}
EVALUATE: {'loss': [2.5656137466430664], 'accuracy': [0.34736841917037964]}
FIT: {'loss': [2.7617580890655518], 'accuracy': [0.2857142984867096]}
EVALUATE: {'loss': [2.445232629776001], 'accuracy': [0.39649122953414917]}
FIT: {'loss': [2.553931951522827], 'accuracy': [0.34899330139160156]}
EVALUATE: {'loss': [2.193991184234619], 'accuracy': [0.46315789222717285]}
FIT: {'loss': [2.6897926330566406], 'accuracy': [0.3048897385597229]}
EVALUATE: {'loss': [2.2827625274658203], 'accuracy': [0.4350877106189728]}
FIT: {'loss': [2.5351402759552], 'accuracy': [0.36816874146461487]}
EVALUATE: {'loss': [2.1966803073883057], 'accuracy': [0.42105263471603394]}
FIT: {'loss': [2.5906991958618164], 'accuracy': [0.36145734786987305]}
EVALUATE: {'loss': [2.5333971977233887], 'accuracy': [0.4140350818634033]}
FIT: {'loss': [2.4345390796661377], 'accuracy': [0.3921380639076233]}
EVALUATE: {'loss': [1.9386650323867798], 'accuracy': [0.5508772134780884]}
FIT: {'loss': [2.4399681091308594], 'accuracy': [0.35953977704048157]}
EVALUATE: {'loss': [1.9582183361053467], 'accuracy': [0.5298245549201965]}
FIT: {'loss': [2.3198955059051514], 'accuracy': [0.39789068698883057]}
EVALUATE: {'loss': [1.6779134273529053], 'accuracy': [0.6175438761711121]}
