FIT: {'loss': [2.943333148956299], 'accuracy': [0.2747252881526947]}
EVALUATE: {'loss': [2.553532838821411], 'accuracy': [0.4555555582046509]}
FIT: {'loss': [2.663731575012207], 'accuracy': [0.311355322599411]}
EVALUATE: {'loss': [2.3117640018463135], 'accuracy': [0.49444442987442017]}
FIT: {'loss': [2.6022210121154785], 'accuracy': [0.32967033982276917]}
EVALUATE: {'loss': [2.4204318523406982], 'accuracy': [0.39444443583488464]}
FIT: {'loss': [2.631746768951416], 'accuracy': [0.3382173478603363]}
EVALUATE: {'loss': [2.3226146697998047], 'accuracy': [0.4555555582046509]}
FIT: {'loss': [2.6117827892303467], 'accuracy': [0.3528693616390228]}
EVALUATE: {'loss': [2.003279209136963], 'accuracy': [0.5388888716697693]}
FIT: {'loss': [2.5666751861572266], 'accuracy': [0.3663003742694855]}
EVALUATE: {'loss': [2.1346161365509033], 'accuracy': [0.4722222089767456]}
FIT: {'loss': [2.44795823097229], 'accuracy': [0.36141636967658997]}
EVALUATE: {'loss': [2.154228448867798], 'accuracy': [0.4166666567325592]}
