FIT: {'loss': [2.97153377532959], 'accuracy': [0.25343188643455505]}
EVALUATE: {'loss': [2.437021255493164], 'accuracy': [0.477477490901947]}
FIT: {'loss': [2.6604108810424805], 'accuracy': [0.3083421289920807]}
EVALUATE: {'loss': [2.209745168685913], 'accuracy': [0.4444444477558136]}
FIT: {'loss': [2.63313627243042], 'accuracy': [0.34424498677253723]}
EVALUATE: {'loss': [2.206883430480957], 'accuracy': [0.4714714586734772]}
FIT: {'loss': [2.5593101978302], 'accuracy': [0.35269272327423096]}
EVALUATE: {'loss': [2.185466766357422], 'accuracy': [0.4354354441165924]}
FIT: {'loss': [2.536402463912964], 'accuracy': [0.37170010805130005]}
EVALUATE: {'loss': [2.0765278339385986], 'accuracy': [0.4924924969673157]}
FIT: {'loss': [2.5194151401519775], 'accuracy': [0.35269272327423096]}
EVALUATE: {'loss': [2.1967461109161377], 'accuracy': [0.49849849939346313]}
FIT: {'loss': [2.339728355407715], 'accuracy': [0.395987331867218]}
EVALUATE: {'loss': [1.9412039518356323], 'accuracy': [0.48948949575424194]}
