FIT: {'loss': [2.9734442234039307], 'accuracy': [0.24560000002384186]}
EVALUATE: {'loss': [2.5239615440368652], 'accuracy': [0.43659043312072754]}
FIT: {'loss': [2.488510847091675], 'accuracy': [0.36640000343322754]}
EVALUATE: {'loss': [1.9402815103530884], 'accuracy': [0.49688148498535156]}
FIT: {'loss': [2.4918057918548584], 'accuracy': [0.3456000089645386]}
EVALUATE: {'loss': [1.842184066772461], 'accuracy': [0.542619526386261]}
FIT: {'loss': [2.4039509296417236], 'accuracy': [0.3831999897956848]}
EVALUATE: {'loss': [1.9213775396347046], 'accuracy': [0.5384615659713745]}
FIT: {'loss': [2.4112329483032227], 'accuracy': [0.3824000060558319]}
EVALUATE: {'loss': [1.9059228897094727], 'accuracy': [0.5031185150146484]}
FIT: {'loss': [2.2936437129974365], 'accuracy': [0.41999998688697815]}
EVALUATE: {'loss': [1.8706814050674438], 'accuracy': [0.45945945382118225]}
FIT: {'loss': [2.3557872772216797], 'accuracy': [0.3959999978542328]}
EVALUATE: {'loss': [1.8178081512451172], 'accuracy': [0.5675675868988037]}
FIT: {'loss': [2.2280776500701904], 'accuracy': [0.41679999232292175]}
EVALUATE: {'loss': [1.8967630863189697], 'accuracy': [0.5717255473136902]}
