FIT: {'loss': [3.081097364425659], 'accuracy': [0.22380952537059784]}
EVALUATE: {'loss': [2.6113359928131104], 'accuracy': [0.3353293538093567]}
FIT: {'loss': [2.771615743637085], 'accuracy': [0.2984127104282379]}
EVALUATE: {'loss': [2.081547498703003], 'accuracy': [0.46107783913612366]}
FIT: {'loss': [2.7171790599823], 'accuracy': [0.3047619163990021]}
EVALUATE: {'loss': [2.2473719120025635], 'accuracy': [0.41916167736053467]}
FIT: {'loss': [2.61238694190979], 'accuracy': [0.3365079462528229]}
EVALUATE: {'loss': [2.2882068157196045], 'accuracy': [0.43113771080970764]}
FIT: {'loss': [2.4652764797210693], 'accuracy': [0.38730159401893616]}
EVALUATE: {'loss': [2.3693175315856934], 'accuracy': [0.38922154903411865]}
FIT: {'loss': [2.4843428134918213], 'accuracy': [0.32698413729667664]}
EVALUATE: {'loss': [2.0770082473754883], 'accuracy': [0.514970064163208]}
FIT: {'loss': [2.5686867237091064], 'accuracy': [0.35555556416511536]}
EVALUATE: {'loss': [2.200307607650757], 'accuracy': [0.41916167736053467]}
