FIT: {'loss': [3.109750747680664], 'accuracy': [0.22620904445648193]}
EVALUATE: {'loss': [2.7910311222076416], 'accuracy': [0.3342776298522949]}
FIT: {'loss': [2.952256679534912], 'accuracy': [0.24648985266685486]}
EVALUATE: {'loss': [2.6736063957214355], 'accuracy': [0.37960338592529297]}
FIT: {'loss': [2.568469524383545], 'accuracy': [0.33697348833084106]}
EVALUATE: {'loss': [2.484271287918091], 'accuracy': [0.399433434009552]}
FIT: {'loss': [2.3998754024505615], 'accuracy': [0.3884555399417877]}
EVALUATE: {'loss': [2.1899592876434326], 'accuracy': [0.4589235186576843]}
FIT: {'loss': [2.212590456008911], 'accuracy': [0.3993759751319885]}
EVALUATE: {'loss': [1.7101402282714844], 'accuracy': [0.5410764813423157]}
