FIT: {'loss': [3.0920569896698], 'accuracy': [0.21556885540485382]}
EVALUATE: {'loss': [3.0365939140319824], 'accuracy': [0.2829268276691437]}
FIT: {'loss': [2.6432535648345947], 'accuracy': [0.31736525893211365]}
EVALUATE: {'loss': [2.372130870819092], 'accuracy': [0.44878047704696655]}
FIT: {'loss': [2.4976906776428223], 'accuracy': [0.36127743124961853]}
EVALUATE: {'loss': [2.2324836254119873], 'accuracy': [0.37560975551605225]}
FIT: {'loss': [2.351795196533203], 'accuracy': [0.401197612285614]}
EVALUATE: {'loss': [2.057677745819092], 'accuracy': [0.4829268157482147]}
FIT: {'loss': [2.118586778640747], 'accuracy': [0.4510978162288666]}
EVALUATE: {'loss': [1.813802719116211], 'accuracy': [0.5414634346961975]}
