FIT: {'loss': [2.8910269737243652], 'accuracy': [0.27916887402534485]}
EVALUATE: {'loss': [2.195140838623047], 'accuracy': [0.4753086566925049]}
FIT: {'loss': [2.692282199859619], 'accuracy': [0.3260522186756134]}
EVALUATE: {'loss': [2.052398681640625], 'accuracy': [0.44907405972480774]}
FIT: {'loss': [2.640624761581421], 'accuracy': [0.32498666644096375]}
EVALUATE: {'loss': [1.9089524745941162], 'accuracy': [0.4938271641731262]}
FIT: {'loss': [2.5158541202545166], 'accuracy': [0.3718700110912323]}
EVALUATE: {'loss': [2.068373680114746], 'accuracy': [0.4614197611808777]}
FIT: {'loss': [2.368877410888672], 'accuracy': [0.3937133848667145]}
EVALUATE: {'loss': [1.8188145160675049], 'accuracy': [0.5663580298423767]}
FIT: {'loss': [2.255734443664551], 'accuracy': [0.4240809679031372]}
EVALUATE: {'loss': [1.8100595474243164], 'accuracy': [0.5648148059844971]}
