FIT: {'loss': [3.249030828475952], 'accuracy': [0.23076923191547394]}
EVALUATE: {'loss': [3.0903923511505127], 'accuracy': [0.18390804529190063]}
FIT: {'loss': [2.4134953022003174], 'accuracy': [0.38461539149284363]}
EVALUATE: {'loss': [2.1794686317443848], 'accuracy': [0.4137931168079376]}
FIT: {'loss': [2.1244051456451416], 'accuracy': [0.41208791732788086]}
EVALUATE: {'loss': [1.8916945457458496], 'accuracy': [0.48275861144065857]}
FIT: {'loss': [2.0480263233184814], 'accuracy': [0.4780219793319702]}
EVALUATE: {'loss': [1.864384412765503], 'accuracy': [0.540229856967926]}
FIT: {'loss': [2.020000457763672], 'accuracy': [0.450549453496933]}
EVALUATE: {'loss': [1.786512017250061], 'accuracy': [0.5517241358757019]}
