FIT: {'loss': [3.066120147705078], 'accuracy': [0.2371794879436493]}
EVALUATE: {'loss': [2.8296008110046387], 'accuracy': [0.30821916460990906]}
FIT: {'loss': [2.850172281265259], 'accuracy': [0.3205128312110901]}
EVALUATE: {'loss': [2.392240047454834], 'accuracy': [0.36986300349235535]}
FIT: {'loss': [2.8786871433258057], 'accuracy': [0.26442307233810425]}
EVALUATE: {'loss': [2.5326950550079346], 'accuracy': [0.465753436088562]}
FIT: {'loss': [2.7488927841186523], 'accuracy': [0.29807692766189575]}
EVALUATE: {'loss': [2.5500547885894775], 'accuracy': [0.3287671208381653]}
FIT: {'loss': [2.584820032119751], 'accuracy': [0.35256409645080566]}
EVALUATE: {'loss': [2.330906391143799], 'accuracy': [0.48630136251449585]}
