FIT: {'loss': [3.119406223297119], 'accuracy': [0.23640167713165283]}
EVALUATE: {'loss': [2.9539270401000977], 'accuracy': [0.29323309659957886]}
FIT: {'loss': [2.8021562099456787], 'accuracy': [0.3221757411956787]}
EVALUATE: {'loss': [2.5560660362243652], 'accuracy': [0.4135338366031647]}
FIT: {'loss': [2.619872570037842], 'accuracy': [0.3368200957775116]}
EVALUATE: {'loss': [2.2984845638275146], 'accuracy': [0.45864662528038025]}
FIT: {'loss': [2.409177541732788], 'accuracy': [0.39121338725090027]}
EVALUATE: {'loss': [2.1020328998565674], 'accuracy': [0.4736842215061188]}
FIT: {'loss': [2.3962337970733643], 'accuracy': [0.38075312972068787]}
EVALUATE: {'loss': [1.9553993940353394], 'accuracy': [0.4849624037742615]}
FIT: {'loss': [2.1485607624053955], 'accuracy': [0.42677825689315796]}
EVALUATE: {'loss': [1.8261847496032715], 'accuracy': [0.5112782120704651]}
FIT: {'loss': [1.9362502098083496], 'accuracy': [0.4748953878879547]}
EVALUATE: {'loss': [1.5050443410873413], 'accuracy': [0.5639097690582275]}
