FIT: {'loss': [2.8763604164123535], 'accuracy': [0.2862767279148102]}
EVALUATE: {'loss': [2.2772796154022217], 'accuracy': [0.4615384638309479]}
FIT: {'loss': [1.9651365280151367], 'accuracy': [0.4808773994445801]}
EVALUATE: {'loss': [1.413970708847046], 'accuracy': [0.6114398241043091]}
FIT: {'loss': [1.902664065361023], 'accuracy': [0.4713160991668701]}
EVALUATE: {'loss': [1.5416203737258911], 'accuracy': [0.6232741475105286]}
FIT: {'loss': [1.8685314655303955], 'accuracy': [0.4831271171569824]}
EVALUATE: {'loss': [1.4071933031082153], 'accuracy': [0.635108470916748]}
FIT: {'loss': [1.8510655164718628], 'accuracy': [0.49887514114379883]}
EVALUATE: {'loss': [1.1940866708755493], 'accuracy': [0.6804733872413635]}
FIT: {'loss': [1.732326626777649], 'accuracy': [0.5140607357025146]}
EVALUATE: {'loss': [1.2487053871154785], 'accuracy': [0.6449704170227051]}
