FIT: {'loss': [3.101276397705078], 'accuracy': [0.2368421107530594]}
EVALUATE: {'loss': [2.6611199378967285], 'accuracy': [0.3469387888908386]}
FIT: {'loss': [2.8969459533691406], 'accuracy': [0.28289473056793213]}
EVALUATE: {'loss': [2.29939866065979], 'accuracy': [0.5306122303009033]}
FIT: {'loss': [2.7945220470428467], 'accuracy': [0.2861842215061188]}
EVALUATE: {'loss': [2.633950710296631], 'accuracy': [0.30612245202064514]}
FIT: {'loss': [2.6470232009887695], 'accuracy': [0.3388157784938812]}
EVALUATE: {'loss': [2.4068779945373535], 'accuracy': [0.4897959232330322]}
FIT: {'loss': [2.6122100353240967], 'accuracy': [0.34375]}
EVALUATE: {'loss': [2.448817014694214], 'accuracy': [0.40816327929496765]}
FIT: {'loss': [2.434903144836426], 'accuracy': [0.39638158679008484]}
EVALUATE: {'loss': [2.02992844581604], 'accuracy': [0.5306122303009033]}
FIT: {'loss': [2.34012770652771], 'accuracy': [0.3700657784938812]}
EVALUATE: {'loss': [2.067426919937134], 'accuracy': [0.3877550959587097]}
FIT: {'loss': [2.0695106983184814], 'accuracy': [0.44572368264198303]}
EVALUATE: {'loss': [1.4974650144577026], 'accuracy': [0.6326530575752258]}
