FIT: {'loss': [2.992122173309326], 'accuracy': [0.25279998779296875]}
EVALUATE: {'loss': [2.5771985054016113], 'accuracy': [0.37214136123657227]}
FIT: {'loss': [2.336880922317505], 'accuracy': [0.41280001401901245]}
EVALUATE: {'loss': [1.9634664058685303], 'accuracy': [0.5155925154685974]}
FIT: {'loss': [2.1817867755889893], 'accuracy': [0.42239999771118164]}
EVALUATE: {'loss': [1.7188681364059448], 'accuracy': [0.5259875059127808]}
FIT: {'loss': [2.1055147647857666], 'accuracy': [0.4352000057697296]}
EVALUATE: {'loss': [1.6702700853347778], 'accuracy': [0.5239084959030151]}
FIT: {'loss': [1.9829738140106201], 'accuracy': [0.46799999475479126]}
EVALUATE: {'loss': [1.5218727588653564], 'accuracy': [0.5987526178359985]}
FIT: {'loss': [1.9998754262924194], 'accuracy': [0.46480000019073486]}
EVALUATE: {'loss': [1.4545822143554688], 'accuracy': [0.6361746191978455]}
FIT: {'loss': [1.7582347393035889], 'accuracy': [0.515999972820282]}
EVALUATE: {'loss': [1.4511268138885498], 'accuracy': [0.6257796287536621]}
FIT: {'loss': [1.677424430847168], 'accuracy': [0.5375999808311462]}
EVALUATE: {'loss': [1.315685510635376], 'accuracy': [0.6798336505889893]}
