FIT: {'loss': [3.119272470474243], 'accuracy': [0.24137930572032928]}
EVALUATE: {'loss': [3.1351606845855713], 'accuracy': [0.23350253701210022]}
FIT: {'loss': [2.7921478748321533], 'accuracy': [0.3218390941619873]}
EVALUATE: {'loss': [2.2756099700927734], 'accuracy': [0.4720812141895294]}
FIT: {'loss': [2.3853213787078857], 'accuracy': [0.3850574791431427]}
EVALUATE: {'loss': [2.156339645385742], 'accuracy': [0.44162437319755554]}
FIT: {'loss': [2.30920672416687], 'accuracy': [0.40229883790016174]}
EVALUATE: {'loss': [2.1102230548858643], 'accuracy': [0.4568527936935425]}
FIT: {'loss': [2.0684964656829834], 'accuracy': [0.4396551847457886]}
EVALUATE: {'loss': [1.9321112632751465], 'accuracy': [0.46700507402420044]}
FIT: {'loss': [1.998151421546936], 'accuracy': [0.47413793206214905]}
EVALUATE: {'loss': [1.8421357870101929], 'accuracy': [0.4771573543548584]}
FIT: {'loss': [2.0298068523406982], 'accuracy': [0.4913793206214905]}
EVALUATE: {'loss': [1.6435105800628662], 'accuracy': [0.5989847779273987]}
FIT: {'loss': [1.8080596923828125], 'accuracy': [0.5287356376647949]}
EVALUATE: {'loss': [1.398726224899292], 'accuracy': [0.6395938992500305]}
FIT: {'loss': [1.930768370628357], 'accuracy': [0.45114943385124207]}
EVALUATE: {'loss': [1.6736806631088257], 'accuracy': [0.5126903653144836]}
