FIT: {'loss': [3.143787384033203], 'accuracy': [0.2133333384990692]}
EVALUATE: {'loss': [2.9157092571258545], 'accuracy': [0.349693238735199]}
FIT: {'loss': [2.8757214546203613], 'accuracy': [0.273333340883255]}
EVALUATE: {'loss': [2.67900013923645], 'accuracy': [0.3558282256126404]}
FIT: {'loss': [3.014803647994995], 'accuracy': [0.25999999046325684]}
EVALUATE: {'loss': [2.830169439315796], 'accuracy': [0.349693238735199]}
FIT: {'loss': [2.597121477127075], 'accuracy': [0.36666667461395264]}
EVALUATE: {'loss': [2.220848798751831], 'accuracy': [0.46625766158103943]}
FIT: {'loss': [2.2566096782684326], 'accuracy': [0.46666666865348816]}
EVALUATE: {'loss': [2.4353511333465576], 'accuracy': [0.4110429584980011]}
FIT: {'loss': [2.5197997093200684], 'accuracy': [0.3199999928474426]}
EVALUATE: {'loss': [1.8890233039855957], 'accuracy': [0.5030674934387207]}
FIT: {'loss': [2.2076468467712402], 'accuracy': [0.4266666769981384]}
EVALUATE: {'loss': [1.9696425199508667], 'accuracy': [0.4601227045059204]}
FIT: {'loss': [1.8770495653152466], 'accuracy': [0.4933333396911621]}
EVALUATE: {'loss': [1.8563047647476196], 'accuracy': [0.5644171833992004]}
