FIT: {'loss': [3.1064112186431885], 'accuracy': [0.22240526974201202]}
EVALUATE: {'loss': [2.90248441696167], 'accuracy': [0.28450703620910645]}
FIT: {'loss': [2.9647598266601562], 'accuracy': [0.2850082516670227]}
EVALUATE: {'loss': [2.754755973815918], 'accuracy': [0.3154929578304291]}
FIT: {'loss': [2.758277416229248], 'accuracy': [0.31301483511924744]}
EVALUATE: {'loss': [2.618889808654785], 'accuracy': [0.37746480107307434]}
FIT: {'loss': [2.671815872192383], 'accuracy': [0.33772653341293335]}
EVALUATE: {'loss': [2.3417775630950928], 'accuracy': [0.405633807182312]}
FIT: {'loss': [2.5529026985168457], 'accuracy': [0.33937397599220276]}
EVALUATE: {'loss': [2.318275213241577], 'accuracy': [0.42816901206970215]}
FIT: {'loss': [2.423471689224243], 'accuracy': [0.4118616282939911]}
EVALUATE: {'loss': [2.1317696571350098], 'accuracy': [0.4394366145133972]}
FIT: {'loss': [2.2283616065979004], 'accuracy': [0.42504119873046875]}
EVALUATE: {'loss': [1.772234320640564], 'accuracy': [0.5746479034423828]}
FIT: {'loss': [2.1379597187042236], 'accuracy': [0.44316309690475464]}
EVALUATE: {'loss': [2.049403667449951], 'accuracy': [0.4816901385784149]}
