FIT: {'loss': [3.076894521713257], 'accuracy': [0.22380952537059784]}
EVALUATE: {'loss': [2.78715443611145], 'accuracy': [0.32335329055786133]}
FIT: {'loss': [2.9389305114746094], 'accuracy': [0.26031747460365295]}
EVALUATE: {'loss': [2.9269120693206787], 'accuracy': [0.3053892254829407]}
FIT: {'loss': [2.8698718547821045], 'accuracy': [0.2984127104282379]}
EVALUATE: {'loss': [2.515737533569336], 'accuracy': [0.443113774061203]}
FIT: {'loss': [2.6340553760528564], 'accuracy': [0.35079365968704224]}
EVALUATE: {'loss': [2.3321800231933594], 'accuracy': [0.401197612285614]}
FIT: {'loss': [2.6285617351531982], 'accuracy': [0.3380952477455139]}
EVALUATE: {'loss': [2.2491376399993896], 'accuracy': [0.4371257424354553]}
FIT: {'loss': [2.3229758739471436], 'accuracy': [0.4015873074531555]}
EVALUATE: {'loss': [2.071739435195923], 'accuracy': [0.5209580659866333]}
FIT: {'loss': [2.116868019104004], 'accuracy': [0.45396825671195984]}
EVALUATE: {'loss': [1.7783912420272827], 'accuracy': [0.56886225938797]}
