FIT: {'loss': [3.0874345302581787], 'accuracy': [0.2222222238779068]}
EVALUATE: {'loss': [2.9583566188812256], 'accuracy': [0.31179773807525635]}
FIT: {'loss': [2.520362377166748], 'accuracy': [0.36486485600471497]}
EVALUATE: {'loss': [2.189173936843872], 'accuracy': [0.4578651785850525]}
FIT: {'loss': [2.449315071105957], 'accuracy': [0.3513513505458832]}
EVALUATE: {'loss': [2.2410318851470947], 'accuracy': [0.4157303273677826]}
FIT: {'loss': [2.178785562515259], 'accuracy': [0.44744744896888733]}
EVALUATE: {'loss': [1.9757030010223389], 'accuracy': [0.48876404762268066]}
FIT: {'loss': [2.2180259227752686], 'accuracy': [0.44594594836235046]}
EVALUATE: {'loss': [1.7258778810501099], 'accuracy': [0.5617977380752563]}
FIT: {'loss': [1.9890272617340088], 'accuracy': [0.4669669568538666]}
EVALUATE: {'loss': [1.4986109733581543], 'accuracy': [0.567415714263916]}
