FIT: {'loss': [3.2522146701812744], 'accuracy': [0.18666666746139526]}
EVALUATE: {'loss': [2.833702802658081], 'accuracy': [0.31578946113586426]}
FIT: {'loss': [2.757444381713867], 'accuracy': [0.3199999928474426]}
EVALUATE: {'loss': [2.7940073013305664], 'accuracy': [0.31578946113586426]}
FIT: {'loss': [2.5283334255218506], 'accuracy': [0.3333333432674408]}
EVALUATE: {'loss': [2.8762245178222656], 'accuracy': [0.21052631735801697]}
FIT: {'loss': [2.4499154090881348], 'accuracy': [0.41333332657814026]}
EVALUATE: {'loss': [2.5412919521331787], 'accuracy': [0.35087719559669495]}
FIT: {'loss': [2.5006601810455322], 'accuracy': [0.4000000059604645]}
EVALUATE: {'loss': [1.9733806848526], 'accuracy': [0.4736842215061188]}
FIT: {'loss': [2.021347761154175], 'accuracy': [0.4399999976158142]}
EVALUATE: {'loss': [1.8137385845184326], 'accuracy': [0.5087719559669495]}
FIT: {'loss': [2.017784357070923], 'accuracy': [0.4266666769981384]}
EVALUATE: {'loss': [1.5520782470703125], 'accuracy': [0.5789473652839661]}
FIT: {'loss': [2.0262949466705322], 'accuracy': [0.4933333396911621]}
EVALUATE: {'loss': [1.863256573677063], 'accuracy': [0.5964912176132202]}
