FIT: {'loss': [3.0741069316864014], 'accuracy': [0.1966145783662796]}
EVALUATE: {'loss': [2.7854201793670654], 'accuracy': [0.3297101557254791]}
FIT: {'loss': [2.546525239944458], 'accuracy': [0.34375]}
EVALUATE: {'loss': [2.423983097076416], 'accuracy': [0.4021739065647125]}
FIT: {'loss': [2.5720064640045166], 'accuracy': [0.3567708432674408]}
EVALUATE: {'loss': [2.0547902584075928], 'accuracy': [0.5253623127937317]}
FIT: {'loss': [2.2090306282043457], 'accuracy': [0.4075520932674408]}
EVALUATE: {'loss': [1.8716435432434082], 'accuracy': [0.5398550629615784]}
FIT: {'loss': [2.1643636226654053], 'accuracy': [0.42578125]}
EVALUATE: {'loss': [1.838489294052124], 'accuracy': [0.4855072498321533]}
FIT: {'loss': [1.9313219785690308], 'accuracy': [0.4921875]}
EVALUATE: {'loss': [1.5211690664291382], 'accuracy': [0.6304348111152649]}
FIT: {'loss': [1.8831548690795898], 'accuracy': [0.4934895932674408]}
EVALUATE: {'loss': [1.359707236289978], 'accuracy': [0.6195651888847351]}
FIT: {'loss': [1.82368004322052], 'accuracy': [0.5208333134651184]}
EVALUATE: {'loss': [1.546560525894165], 'accuracy': [0.5471014380455017]}
FIT: {'loss': [1.869503378868103], 'accuracy': [0.4583333432674408]}
EVALUATE: {'loss': [1.409361481666565], 'accuracy': [0.6014492511749268]}
