FIT: {'loss': [3.1306166648864746], 'accuracy': [0.19130434095859528]}
EVALUATE: {'loss': [3.032593011856079], 'accuracy': [0.25]}
FIT: {'loss': [3.0876879692077637], 'accuracy': [0.21159420907497406]}
EVALUATE: {'loss': [2.981856346130371], 'accuracy': [0.21590909361839294]}
FIT: {'loss': [2.853234052658081], 'accuracy': [0.30434781312942505]}
EVALUATE: {'loss': [2.5083189010620117], 'accuracy': [0.40909090638160706]}
FIT: {'loss': [2.7537496089935303], 'accuracy': [0.33043476939201355]}
EVALUATE: {'loss': [2.307239294052124], 'accuracy': [0.40909090638160706]}
FIT: {'loss': [2.4550113677978516], 'accuracy': [0.321739137172699]}
EVALUATE: {'loss': [2.6416473388671875], 'accuracy': [0.35227271914482117]}
FIT: {'loss': [2.38382887840271], 'accuracy': [0.40289855003356934]}
EVALUATE: {'loss': [2.3189682960510254], 'accuracy': [0.39772728085517883]}
