FIT: {'loss': [0.9964988231658936], 'accuracy': [0.717700183391571]}
EVALUATE: {'loss': [0.18412455916404724], 'accuracy': [0.9575788378715515]}
FIT: {'loss': [0.2895645797252655], 'accuracy': [0.911171019077301]}
EVALUATE: {'loss': [0.05760238319635391], 'accuracy': [0.9882683157920837]}
FIT: {'loss': [0.2730550467967987], 'accuracy': [0.9175836443901062]}
EVALUATE: {'loss': [0.061529383063316345], 'accuracy': [0.9863980412483215]}
FIT: {'loss': [0.17145036160945892], 'accuracy': [0.950120210647583]}
EVALUATE: {'loss': [0.04195236787199974], 'accuracy': [0.990138590335846]}
FIT: {'loss': [0.1573317050933838], 'accuracy': [0.9544560313224792]}
EVALUATE: {'loss': [0.04350221902132034], 'accuracy': [0.9897134900093079]}
