FIT: {'loss': [2.9942643642425537], 'accuracy': [0.24916943907737732]}
EVALUATE: {'loss': [2.8792481422424316], 'accuracy': [0.31976744532585144]}
FIT: {'loss': [2.3360161781311035], 'accuracy': [0.42691031098365784]}
EVALUATE: {'loss': [1.8890784978866577], 'accuracy': [0.5290697813034058]}
FIT: {'loss': [2.2485644817352295], 'accuracy': [0.39867109060287476]}
EVALUATE: {'loss': [1.7387374639511108], 'accuracy': [0.6686046719551086]}
FIT: {'loss': [2.1410953998565674], 'accuracy': [0.45514950156211853]}
EVALUATE: {'loss': [1.6832808256149292], 'accuracy': [0.5872092843055725]}
FIT: {'loss': [2.189652681350708], 'accuracy': [0.45847177505493164]}
EVALUATE: {'loss': [1.707690954208374], 'accuracy': [0.5639534592628479]}
