FIT: {'loss': [2.9161198139190674], 'accuracy': [0.2843068242073059]}
EVALUATE: {'loss': [2.476180076599121], 'accuracy': [0.3935742974281311]}
FIT: {'loss': [2.634280204772949], 'accuracy': [0.3448275923728943]}
EVALUATE: {'loss': [2.256544351577759], 'accuracy': [0.4738955795764923]}
FIT: {'loss': [2.6419382095336914], 'accuracy': [0.3406051993370056]}
EVALUATE: {'loss': [1.9869972467422485], 'accuracy': [0.5180723071098328]}
FIT: {'loss': [2.474092721939087], 'accuracy': [0.3631245493888855]}
EVALUATE: {'loss': [1.91866934299469], 'accuracy': [0.5542168617248535]}
FIT: {'loss': [2.2227163314819336], 'accuracy': [0.4405348300933838]}
EVALUATE: {'loss': [1.949841856956482], 'accuracy': [0.4618473947048187]}
