FIT: {'loss': [3.2084755897521973], 'accuracy': [0.18161435425281525]}
EVALUATE: {'loss': [3.0122296810150146], 'accuracy': [0.32824426889419556]}
FIT: {'loss': [2.931563377380371], 'accuracy': [0.26233184337615967]}
EVALUATE: {'loss': [2.849449634552002], 'accuracy': [0.2748091518878937]}
FIT: {'loss': [2.687966823577881], 'accuracy': [0.3430493175983429]}
EVALUATE: {'loss': [2.2951104640960693], 'accuracy': [0.4656488597393036]}
FIT: {'loss': [2.3895509243011475], 'accuracy': [0.40582960844039917]}
EVALUATE: {'loss': [2.144273519515991], 'accuracy': [0.442748099565506]}
FIT: {'loss': [2.459480047225952], 'accuracy': [0.3856502175331116]}
EVALUATE: {'loss': [2.1655161380767822], 'accuracy': [0.4656488597393036]}
