FIT: {'loss': [2.806849479675293], 'accuracy': [0.29018789529800415]}
EVALUATE: {'loss': [2.5492641925811768], 'accuracy': [0.37128713726997375]}
FIT: {'loss': [2.9186346530914307], 'accuracy': [0.2546972930431366]}
EVALUATE: {'loss': [2.5429887771606445], 'accuracy': [0.38118812441825867]}
FIT: {'loss': [2.321385145187378], 'accuracy': [0.3966597020626068]}
EVALUATE: {'loss': [2.0486414432525635], 'accuracy': [0.5346534848213196]}
FIT: {'loss': [2.115438938140869], 'accuracy': [0.4467640817165375]}
EVALUATE: {'loss': [1.8028761148452759], 'accuracy': [0.5346534848213196]}
FIT: {'loss': [2.2247140407562256], 'accuracy': [0.39457201957702637]}
EVALUATE: {'loss': [1.8225476741790771], 'accuracy': [0.5544554591178894]}
