FIT: {'loss': [1.0377024412155151], 'accuracy': [0.7047657370567322]}
EVALUATE: {'loss': [0.19037659466266632], 'accuracy': [0.9527331590652466]}
FIT: {'loss': [0.10489899665117264], 'accuracy': [0.9694673418998718]}
EVALUATE: {'loss': [0.02284095622599125], 'accuracy': [0.9934540390968323]}
FIT: {'loss': [0.08855770528316498], 'accuracy': [0.9733294248580933]}
EVALUATE: {'loss': [0.020949501544237137], 'accuracy': [0.9952393174171448]}
FIT: {'loss': [0.07299402356147766], 'accuracy': [0.9784303903579712]}
EVALUATE: {'loss': [0.015677783638238907], 'accuracy': [0.9957493543624878]}
FIT: {'loss': [0.07226097583770752], 'accuracy': [0.978466808795929]}
EVALUATE: {'loss': [0.012019619345664978], 'accuracy': [0.9965994954109192]}
FIT: {'loss': [0.06237879768013954], 'accuracy': [0.9809443950653076]}
EVALUATE: {'loss': [0.009217298589646816], 'accuracy': [0.9975346326828003]}
FIT: {'loss': [0.05879966914653778], 'accuracy': [0.9819281697273254]}
EVALUATE: {'loss': [0.029587378725409508], 'accuracy': [0.9915837645530701]}
