FIT: {'loss': [1.0290642976760864], 'accuracy': [0.7095022797584534]}
EVALUATE: {'loss': [0.18014778196811676], 'accuracy': [0.9541783332824707]}
FIT: {'loss': [0.3073995113372803], 'accuracy': [0.9070903062820435]}
EVALUATE: {'loss': [0.08062534779310226], 'accuracy': [0.9756014347076416]}
FIT: {'loss': [0.2861470878124237], 'accuracy': [0.9121183156967163]}
EVALUATE: {'loss': [0.0724572166800499], 'accuracy': [0.9830825328826904]}
FIT: {'loss': [0.12830446660518646], 'accuracy': [0.9615973234176636]}
EVALUATE: {'loss': [0.029608936980366707], 'accuracy': [0.9923489093780518]}
FIT: {'loss': [0.11056403815746307], 'accuracy': [0.9677548408508301]}
EVALUATE: {'loss': [0.02379731833934784], 'accuracy': [0.993539035320282]}
FIT: {'loss': [0.08504378795623779], 'accuracy': [0.9744953513145447]}
EVALUATE: {'loss': [0.016151785850524902], 'accuracy': [0.9960894584655762]}
FIT: {'loss': [0.08223427087068558], 'accuracy': [0.9760985374450684]}
EVALUATE: {'loss': [0.012956761755049229], 'accuracy': [0.9960894584655762]}
FIT: {'loss': [0.07097465544939041], 'accuracy': [0.9793776869773865]}
EVALUATE: {'loss': [0.023335980251431465], 'accuracy': [0.9933690428733826]}
