FIT: {'loss': [1.0323008298873901], 'accuracy': [0.7053122520446777]}
EVALUATE: {'loss': [0.19563007354736328], 'accuracy': [0.9410014748573303]}
FIT: {'loss': [0.3066234886646271], 'accuracy': [0.9074910879135132]}
EVALUATE: {'loss': [0.0737418681383133], 'accuracy': [0.9807022213935852]}
FIT: {'loss': [0.2848273813724518], 'accuracy': [0.91324782371521]}
EVALUATE: {'loss': [0.08351047337055206], 'accuracy': [0.9766216278076172]}
FIT: {'loss': [0.17485420405864716], 'accuracy': [0.9459301829338074]}
EVALUATE: {'loss': [0.031842730939388275], 'accuracy': [0.9916688203811646]}
FIT: {'loss': [0.13296586275100708], 'accuracy': [0.9604678153991699]}
EVALUATE: {'loss': [0.039181187748909], 'accuracy': [0.9925189018249512]}
FIT: {'loss': [0.10426905751228333], 'accuracy': [0.9699774384498596]}
EVALUATE: {'loss': [0.02431723289191723], 'accuracy': [0.993028998374939]}
FIT: {'loss': [0.08540083467960358], 'accuracy': [0.9744589328765869]}
EVALUATE: {'loss': [0.01384577713906765], 'accuracy': [0.9966844916343689]}
