FIT: {'loss': [1.0263813734054565], 'accuracy': [0.7080448865890503]}
EVALUATE: {'loss': [0.17837625741958618], 'accuracy': [0.9509478807449341]}
FIT: {'loss': [0.30507996678352356], 'accuracy': [0.9087663292884827]}
EVALUATE: {'loss': [0.08478643745183945], 'accuracy': [0.9822324514389038]}
FIT: {'loss': [0.28611117601394653], 'accuracy': [0.9133935570716858]}
EVALUATE: {'loss': [0.06498464196920395], 'accuracy': [0.9804471731185913]}
FIT: {'loss': [0.13026173412799835], 'accuracy': [0.9602492451667786]}
EVALUATE: {'loss': [0.03016316145658493], 'accuracy': [0.9926889538764954]}
FIT: {'loss': [0.11202288419008255], 'accuracy': [0.9668439626693726]}
EVALUATE: {'loss': [0.021874239668250084], 'accuracy': [0.9941341280937195]}
FIT: {'loss': [0.08878432959318161], 'accuracy': [0.9733659029006958]}
EVALUATE: {'loss': [0.015507740899920464], 'accuracy': [0.9965994954109192]}
FIT: {'loss': [0.07645680755376816], 'accuracy': [0.976754367351532]}
EVALUATE: {'loss': [0.016531234607100487], 'accuracy': [0.9958344101905823]}
FIT: {'loss': [0.07020694017410278], 'accuracy': [0.9795598387718201]}
EVALUATE: {'loss': [0.013204902410507202], 'accuracy': [0.9967695474624634]}
FIT: {'loss': [0.06678972393274307], 'accuracy': [0.9805071949958801]}
EVALUATE: {'loss': [0.009787680581212044], 'accuracy': [0.9977046847343445]}
