FIT: {'loss': [1.0548685789108276], 'accuracy': [0.7002113461494446]}
EVALUATE: {'loss': [0.1620897799730301], 'accuracy': [0.9574088454246521]}
FIT: {'loss': [0.12835252285003662], 'accuracy': [0.960577130317688]}
EVALUATE: {'loss': [0.030150562524795532], 'accuracy': [0.9919238090515137]}
FIT: {'loss': [0.10707466304302216], 'accuracy': [0.9684106707572937]}
EVALUATE: {'loss': [0.02042432874441147], 'accuracy': [0.9949842691421509]}
FIT: {'loss': [0.0899343192577362], 'accuracy': [0.9725642800331116]}
EVALUATE: {'loss': [0.017493274062871933], 'accuracy': [0.9956643581390381]}
FIT: {'loss': [0.07516136020421982], 'accuracy': [0.9770822525024414]}
EVALUATE: {'loss': [0.011175132356584072], 'accuracy': [0.9974496364593506]}
FIT: {'loss': [0.06989613175392151], 'accuracy': [0.9790133237838745]}
EVALUATE: {'loss': [0.013407605700194836], 'accuracy': [0.9964295029640198]}
FIT: {'loss': [0.06342347711324692], 'accuracy': [0.9808715581893921]}
EVALUATE: {'loss': [0.01326671987771988], 'accuracy': [0.9970245957374573]}
FIT: {'loss': [0.05832643434405327], 'accuracy': [0.9824017882347107]}
EVALUATE: {'loss': [0.007940797135233879], 'accuracy': [0.9975346326828003]}
FIT: {'loss': [0.0568111352622509], 'accuracy': [0.9829847812652588]}
EVALUATE: {'loss': [0.013351493515074253], 'accuracy': [0.9958344101905823]}
