FIT: {'loss': [1.0343252420425415], 'accuracy': [0.7046200037002563]}
EVALUATE: {'loss': [0.1971992701292038], 'accuracy': [0.9507778882980347]}
FIT: {'loss': [0.10403694212436676], 'accuracy': [0.9684471487998962]}
EVALUATE: {'loss': [0.027773624286055565], 'accuracy': [0.9915837645530701]}
FIT: {'loss': [0.08499547094106674], 'accuracy': [0.9742767810821533]}
EVALUATE: {'loss': [0.016076937317848206], 'accuracy': [0.9958344101905823]}
FIT: {'loss': [0.07905842363834381], 'accuracy': [0.9762078523635864]}
EVALUATE: {'loss': [0.012416004203259945], 'accuracy': [0.9971945881843567]}
FIT: {'loss': [0.06920793652534485], 'accuracy': [0.9790862202644348]}
EVALUATE: {'loss': [0.012463224120438099], 'accuracy': [0.9972795844078064]}
FIT: {'loss': [0.0602007620036602], 'accuracy': [0.9818188548088074]}
EVALUATE: {'loss': [0.010681851767003536], 'accuracy': [0.9971945881843567]}
FIT: {'loss': [0.058473166078329086], 'accuracy': [0.9828754663467407]}
EVALUATE: {'loss': [0.01190976146608591], 'accuracy': [0.9961744546890259]}
