FIT: {'loss': [1.0326839685440063], 'accuracy': [0.7036726474761963]}
EVALUATE: {'loss': [0.1929253488779068], 'accuracy': [0.951202929019928]}
FIT: {'loss': [0.29771047830581665], 'accuracy': [0.9096772074699402]}
EVALUATE: {'loss': [0.07587236911058426], 'accuracy': [0.9796820282936096]}
FIT: {'loss': [0.2826274335384369], 'accuracy': [0.9124826788902283]}
EVALUATE: {'loss': [0.08420011401176453], 'accuracy': [0.9772167205810547]}
FIT: {'loss': [0.170579731464386], 'accuracy': [0.9470961093902588]}
EVALUATE: {'loss': [0.04030408337712288], 'accuracy': [0.988693356513977]}
FIT: {'loss': [0.13450925052165985], 'accuracy': [0.9596662521362305]}
EVALUATE: {'loss': [0.02700223959982395], 'accuracy': [0.9929440021514893]}
FIT: {'loss': [0.10754033178091049], 'accuracy': [0.9686657190322876]}
EVALUATE: {'loss': [0.019470522180199623], 'accuracy': [0.9948142766952515]}
FIT: {'loss': [0.08403179049491882], 'accuracy': [0.9756248593330383]}
EVALUATE: {'loss': [0.017462456598877907], 'accuracy': [0.9946442246437073]}
