FIT: {'loss': [1.0290842056274414], 'accuracy': [0.7080813050270081]}
EVALUATE: {'loss': [0.17019256949424744], 'accuracy': [0.9554535150527954]}
FIT: {'loss': [0.2853914201259613], 'accuracy': [0.9135028719902039]}
EVALUATE: {'loss': [0.06270630657672882], 'accuracy': [0.9829975366592407]}
FIT: {'loss': [0.13113832473754883], 'accuracy': [0.9593383073806763]}
EVALUATE: {'loss': [0.03500322997570038], 'accuracy': [0.9914137721061707]}
FIT: {'loss': [0.10865475237369537], 'accuracy': [0.9673905372619629]}
EVALUATE: {'loss': [0.030626103281974792], 'accuracy': [0.9922638535499573]}
FIT: {'loss': [0.08667472749948502], 'accuracy': [0.974094569683075]}
EVALUATE: {'loss': [0.018707958981394768], 'accuracy': [0.9944741725921631]}
