FIT: {'loss': [1.0027763843536377], 'accuracy': [0.714056670665741]}
EVALUATE: {'loss': [0.2094206064939499], 'accuracy': [0.9407464265823364]}
FIT: {'loss': [0.3034895062446594], 'accuracy': [0.9084383845329285]}
EVALUATE: {'loss': [0.062965027987957], 'accuracy': [0.9839326739311218]}
FIT: {'loss': [0.2824714183807373], 'accuracy': [0.9132842421531677]}
EVALUATE: {'loss': [0.07051942497491837], 'accuracy': [0.9812122583389282]}
FIT: {'loss': [0.13385942578315735], 'accuracy': [0.960686445236206]}
EVALUATE: {'loss': [0.03682472184300423], 'accuracy': [0.9892884492874146]}
FIT: {'loss': [0.10579020529985428], 'accuracy': [0.9664431810379028]}
EVALUATE: {'loss': [0.02548004686832428], 'accuracy': [0.9926889538764954]}
FIT: {'loss': [0.0893564447760582], 'accuracy': [0.9732565879821777]}
EVALUATE: {'loss': [0.014222096651792526], 'accuracy': [0.9965144991874695]}
FIT: {'loss': [0.07275138050317764], 'accuracy': [0.9775559306144714]}
EVALUATE: {'loss': [0.019200177863240242], 'accuracy': [0.9945592284202576]}
